Firm,Date,Complaints per 1000,Closed,Upheld%,Closed 8 weeks+%,FOS new cases#,FOS Upheld%,FOS cases per 1m
J SAINSBURY PLC,2018 - H1,3.26127953,16850,0.527537092,0.00884273,261,0.136015326,50.51596186
J SAINSBURY PLC,2018 - H2,3.656716661,18081,0.64797301,0.046015154,467,0.459678801,94.44647313
J SAINSBURY PLC,2019 - H1,3.760811023,21151,0.670795707,0.179944211,332,0.4,59.03216205
J SAINSBURY PLC,2019 - H2,4.211397065,19633,0.534202618,0.073091224,272,0.281366344,58.34564263
J SAINSBURY PLC,2020 - H1,3.824300562,19321,0.540206563,0.064903473,300,0.239759054,59.38047558
J SAINSBURY PLC,2020 - H2,3.003651955,14148,0.460013642,0.051950806,528,0.218288583,112.0955776
J SAINSBURY PLC,2021 - H1,3.478564826,15774,0.48966654,0.087485736,495,0.246722048,109.1599841
J SAINSBURY PLC,2021 - H2,3.028384595,14066,0.513287644,0.115668989,460,0.274751035,99.03717572
J SAINSBURY PLC,2022 - H1,3.902074251,12436,0.500192602,0.064651013,338,0.191045647,106.0550898
J SAINSBURY PLC,2022 - H2,1.48,4381,0.2671,0.011184661,405,0.245425057,136.8180781
J SAINSBURY PLC,2023 - H1,2.678406408,12401,0.535037497,0.117006693,423,0.276501454,91.36085078
J SAINSBURY PLC,2023 - H2,2.503905012,11134,0.482093731,0.0701455,344,0.240811091,77.3615344
J SAINSBURY PLC,2024 - H1,1.894927671,7844,0.397216012,0.032508924,271,0.296511238,65.46728696
J SAINSBURY PLC,2024 - H2,1.682032971,7855,0.375792642,0.017313813,282,0.293104049,60.3861614
J SAINSBURY PLC,2025 - H1,1.828043022,7189,0.373941466,0.014726123,271,0.235330361,68.91078856
METRO BANK PLC,2018 - H1,4.27,5992,0.470126836,0.000166889,298,0.46,212.3598131
METRO BANK PLC,2018 - H2,4,6397,0.481319368,0.000156323,256,0.48,160.0750352
METRO BANK PLC,2019 - H1,3.88,6935,0.446142754,0.000288392,307,0.53,171.7606345
METRO BANK PLC,2019 - H2,4.15,8020,0.461720698,0,309,0.595744681,159.894015
METRO BANK PLC,2020 - H1,3.39,6769,0.407,0,281,0.4,140.7283203
METRO BANK PLC,2020 - H2,3.95,8446,0.444,0.000947194,424,0.395238095,198.2950509
METRO BANK PLC,2021 - H1,3.43,7242,0.42004971,0.00041425,502,0.4169279,237.7602872
METRO BANK PLC,2021 - H2,3.49,7572,0.503,0.001056524,361,0.426512968,166.3880085
METRO BANK PLC,2022 - H1,3.19,7119,0.498,0.000140469,385,0.404411765,172.5172075
METRO BANK PLC,2022 - H2,3.53,8385,0.5189,0.000357782,363,0.40087146,152.8193202
METRO BANK PLC,2023 - H1,3.21,8212,0.476497808,0.000365319,519,0.412147505,202.8726254
METRO BANK PLC,2023 - H2,3.34,8674,0.4742,0.001268158,582,0.456953642,224.1042195
METRO BANK PLC,2024 - H1,3.23,9312,0.4544,0.001073883,528,0.46473029,183.1443299
METRO BANK PLC,2024 - H2,3.16,8283,0.4315,0.001810938,519,0.413793103,198.0007244
METRO BANK PLC,2025 - H1,3.45,9789,0.4502,0.0026,430,0.305177112,151.5476555
